"file","leg","behind_end_max","p2p_end_max","src_behind_end","src_p2p_end","src_dec_fps","sources","generated"
"17_Random_Mp4s\WeLo-AI-rc13-1x1_SOCIAL.mp4","2","4","147","0","116.3","415","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"17_Random_Mp4s\WeLo-AI-rc13-1x1_SOCIAL.mp4","3","4","31","0","0.4","70.8","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"17_Random_Mp4s\WeLo-AI-rc13-1x1_SOCIAL.mp4","4","4","38","0","7.8","411.8","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"2_4K_ProRes_422HQ\Barritas_16x9_Shot_040-080_v005_ALT_1.mov","1","5","41","1","11","108.5","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"2_4K_ProRes_422HQ\Barritas_16x9_Shot_040-080_v005_ALT_1.mov","2","4","40","0","9.4","145.4","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"2_4K_ProRes_422HQ\Barritas_16x9_Shot_040-080_v005_ALT_1.mov","3","4","37","0","6.9","66.1","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"2_4K_ProRes_422HQ\Barritas_16x9_Shot_040-080_v005_ALT_1.mov","4","4","43","0","13","117.3","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"3_1080p_H264_MP4\M&M_TopGun_1080.mp4","1","4","32","0","2","157.1","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"3_1080p_H264_MP4\M&M_TopGun_1080.mp4","2","4","39","0","8.3","287.3","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"3_1080p_H264_MP4\M&M_TopGun_1080.mp4","3","4","31","0","0.4","70.9","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"3_1080p_H264_MP4\M&M_TopGun_1080.mp4","4","4","38","0","7.3","206.1","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"3_1080p_H264_MP4\Marinelaverse_16x9_EndTag_v007.mp4","1","4","33","0","0.5","62.7","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"3_1080p_H264_MP4\Marinelaverse_16x9_EndTag_v007.mp4","2","4","30","0","0","138.4","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"3_1080p_H264_MP4\Marinelaverse_16x9_EndTag_v007.mp4","3","4","54","0","0.6","37.9","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"3_1080p_H264_MP4\Marinelaverse_16x9_EndTag_v007.mp4","4","4","30","0","0","103.1","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"3_1080p_H264_MP4\Universe_rc07_I_9x16_Online.mp4","1","4","31","0","0.3","269.4","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
